date,total_loan,bad_loan_ratio,restore_ratio
2015-09-30,88737.59,2.02,4.40739842044
2015-06-30,87274.49,1.83,4.36888047928
2015-03-31,84966.71,1.65,4.41547214197
2014-12-31,80980.67,1.54,4.42175325297
2014-09-30,79976.05,1.29,4.33484182077
2014-06-30,78409.07,1.24,4.30634133653
2014-03-31,72195.84,1.22,4.61625204305
2013-12-31,72247.13,1.22,4.45957344465
2013-09-30,71078.73,1.24,4.29989650068
2013-06-30,69461.2,1.25,4.30032656793
2013-03-31,67698.73,1.27,4.31017622487
2012-12-31,64333.99,1.33,4.35204885007
2012-09-30,62449.75,1.34,4.18345168716
2012-06-30,60801.04,1.39,4.11774865693
2012-03-31,58886.85,1.44,4.09125593575
2011-12-31,56287.05,1.55,4.08333529648
2011-09-30,54874.62,1.6,3.81302920002
2011-06-30,53839.13,1.67,3.63910855172
2011-03-31,52181.54,1.76,3.46958965182
2010-12-31,49567.41,2.03,3.40406332508
2010-09-30,47784.51,2.08,3.32330468597
2010-06-30,46239.83,2.32,3.15214728514
2010-03-30,43810.85,2.615,3.13249594336
2009-12-31,41381.87,2.91,3.06167753415
