date,bpvs,equity
2015-09-30,4.21,21636100
2015-06-30,4.03,20792500
2015-03-31,4.02,18754700
2014-12-31,3.83,17897500
2014-09-30,3.7,17285200
2014-06-30,3.53,16496100
2014-03-31,3.5,16359000
2013-12-31,3.3,15283900
2013-09-30,3.27,13213600
2013-06-30,3.14,12687000
2013-03-31,3.03,12242700
2012-12-31,2.82,11417800
2012-09-30,2.72,10986765
2012-06-30,2.59,10456734
2012-03-31,2.55,10313938.0
2011-12-31,2.38,9603416
2011-09-30,2.25,9082382
2011-06-30,2.14,8663392
2011-03-31,2.13,8625998
2010-12-31,2.01,8136447
2010-09-30,1.97,7985797.0
2010-06-30,1.65,5527213
2010-03-31,--,--
2009-12-31,1.44,4810669
2009-09-30,--,--
