date,bpvs,equity
2015-09-30,9.84,3838562.0
2015-06-30,9.75,3801535.0
2015-03-31,11.04,3586807.0
2014-12-31,10.49,3409110.0
2014-09-30,10.05,3266157.0
2014-06-30,10.13,2920551.0
2014-03-31,9.48,2734300.0
2013-12-31,8.84,2550669.0
2013-09-30,8.68,2502501.0
2013-06-30,8.55,2466836.0
2013-03-31,8.11,2337804.0
2012-12-31,7.67,2211696.0
2012-09-30,7.42,2140748.0
2012-06-30,7.06,2037111.0
2012-03-31,6.84,1972523.0
2011-12-31,6.49,1871407.0
2011-09-30,6.19,1784073.0
2011-06-30,5.87,1694041.0
2011-03-31,5.79,1669486.0
2010-12-31,5.51,1587664.0
2010-09-30,4.46,1114247.0
2010-06-30,4.21,1053618.0
2010-03-31,4.1,1025724.0
2009-12-31,3.9,974198.0
2009-09-30,3.76,938873.0
2009-06-30,3.6,900813.0
2009-03-31,3.65,913286.0
