date,bpvs,equity
2015-09-30,13.16,4428710.0
2015-06-30,13.06,4397589.0
2015-03-31,11.43,3394689.0
2014-12-31,10.93,3244891.0
2014-09-30,10.33,3066359.0
2014-06-30,9.83,2917366.0
2014-03-31,9.58,2845602.0
2013-12-31,8.96,2658999.0
2013-09-30,8.89,2638347.0
2013-06-30,8.71,2585005.0
2013-03-31,8.74,2593832.0
2012-12-31,8.29,2461833.0
2012-09-30,7.97,2364947.0
2012-06-30,7.79,2312706.0
2012-03-31,7.63,2264426.0
2011-12-31,7.29,2164377.0
2011-09-30,6.88,2041640.0
2011-06-30,6.65,1975719.0
2011-03-31,6.6,1960844.0
2010-12-31,6.34,1883374.0
2010-09-30,5.75,1371825.0
2010-06-30,5.48,1309333.0
2010-03-31,6.91,1269997.0
2009-12-31,6.55,1203895.0
2009-09-30,6.38,1172374.0
2009-06-30,6.22,1143068.0
2009-03-31,6.35,1166068.0
